thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,Fixation.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
94,0,94,[-0.0875],[-0.2222222222222222],[1],[0],[0],[2.6012504999525845],['Target'],94,0,94,0,160.65449100011028,,10,160.64193040004466,160.65449100011028,160.65449100011028,0.031227300059981644,161.65700960007962,163.24334990000352,[-0.0875],[-0.2222222222222222],[1],[0],[0],[2.6012504999525845],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
95,0,95,[-0.32083333333333336],[0.2861111111111111],[1],[0],[0],[3.236699100001715],['Target'],95,0,95,0,163.28833720006514,,10,163.2727074000286,163.28833720006514,163.28833720006514,0.029059099964797497,164.29006030003075,166.5094725000672,[-0.32083333333333336],[0.2861111111111111],[1],[0],[0],[3.236699100001715],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
96,0,96,[-0.20972222222222223],[0.05277777777777778],[1],[0],[0],[1.0700714000267908],['Target'],96,0,96,0,166.5381611000048,,5,166.52505130006466,166.5381611000048,166.5381611000048,0.015442600008100271,167.54192030010745,167.59522310004104,[-0.20972222222222223],[0.05277777777777778],[1],[0],[0],[1.0700714000267908],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
97,0,97,[0.15833333333333333],[0.09166666666666666],[1],[0],[0],[1.1619792999699712],['Target'],97,0,97,0,167.63852610008325,,5,167.61402550002094,167.63852610008325,167.63852610008325,0.01857620000373572,168.6407096000621,168.7761236000806,[0.15833333333333333],[0.09166666666666666],[1],[0],[0],[1.1619792999699712],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
98,0,98,[-0.11527777777777778],[-0.002777777777777778],[1],[0],[0],[1.0343343999702483],['Target'],98,0,98,0,168.80577200010885,,5,168.79291509999894,168.80577200010885,168.80577200010885,0.016609500045888126,169.80753130000085,169.82735340006184,[-0.11527777777777778],[-0.002777777777777778],[1],[0],[0],[1.0343343999702483],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
99,0,99,[-0.18333333333333332],[0.4986111111111111],[1],[0],[0],[1.6868177000433207],['Target'],99,0,99,0,169.87176530004945,,10,169.85673100000713,169.87176530004945,169.87176530004945,0.02924410009291023,170.87354630010668,171.5436492000008,[-0.18333333333333332],[0.4986111111111111],[1],[0],[0],[1.6868177000433207],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
100,0,100,[-0.5222222222222223],[-0.2263888888888889],[1],[0],[0],[1.200554299983196],[None],100,0,100,0,171.57230150001124,,5,171.56018380005844,171.57230150001124,171.57230150001124,0.01629739999771118,172.57443230005447,172.76088170008734,[-0.5222222222222223],[-0.2263888888888889],[1],[0],[0],[1.200554299983196],[None],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
101,0,101,[-0.3416666666666667],[0.3486111111111111],[1],[0],[0],[1.6824481000658125],['Target'],101,0,101,0,172.78928670007735,,5,172.7780775000574,172.78928670007735,172.78928670007735,0.01697449991479516,173.7907709000865,174.46064610010944,[-0.3416666666666667],[0.3486111111111111],[1],[0],[0],[1.6824481000658125],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
102,0,102,[-0.1375],[-0.2791666666666667],[1],[0],[0],[1.4017802000744268],['Target'],102,0,102,0,174.50549350003712,,10,174.49067260010634,174.50549350003712,174.50549350003712,0.02970900002401322,175.5077939000912,175.8925259000389,[-0.1375],[-0.2791666666666667],[1],[0],[0],[1.4017802000744268],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
103,0,103,[-0.15416666666666667],[-0.16111111111111112],[1],[0],[0],[1.337221199995838],['Target'],103,0,103,0,175.92195310001262,,5,175.9072350000497,175.92195310001262,175.92195310001262,0.014499099925160408,176.92422640009318,177.24459560005926,[-0.15416666666666667],[-0.16111111111111112],[1],[0],[0],[1.337221199995838],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
