delay,freq,condition,key_resp.rt,textbox.text,,,,,,,,
0.1,1000,exp,0.7979869,700,,,,,,,,
0.4,1000,exp,0.8772917,120,,,,,,,,
0.1,1000,exp,0.5140555,200,,,,,,,,
0.1,1000,exp,0.5840848,200,,,,,,,,
0.7,1000,exp,1.5561348,120,,,,,,,,
0.4,1000,exp,0.3337364,200,,,,,,,,
0.7,400,unexp,0.1838937,900,,,,,,,,
0.7,1000,exp,0.7081066,230,,,,,,,,
0.4,1000,exp,0.2164415,200,,,,,,,,
0.1,400,unexp,0.8980786,900,,,,,,,,
0.4,400,unexp,0.2261351,960,,,,,,,,
0.7,1000,exp,0.2445426,230,,,,,,,,
0.4,1000,exp,0.703672,340,,,,,,,,
0.1,1000,exp,0.4744258,120,,,,,,,,
0.1,1000,exp,0.2875076,230,,,,,,,,
0.1,1000,exp,0.4454795,340,,,,,,,,
0.1,400,unexp,1.3898264,960,,,,,,,,
0.7,400,unexp,0.7802158,980,,,,,,,,
0.4,400,unexp,1.2653293,980,,,,,,,,
0.4,1000,exp,0.3277225,230,,,,,,,,
0.7,1000,exp,0.2545189,340,,,,,,,,
0.4,1000,exp,0.2602496,230,,,,,,,,
0.7,1000,exp,0.2910784,120,,,,,,,,
0.7,1000,exp,0.2303713,230,,,,,,,,
0.1,1000,exp,0.2942768,340,,,,,,,,
0.4,1000,exp,0.8533175,320,,,,,,,,
0.7,1000,exp,0.2818089,230,,,,,,,,
0.1,400,unexp,0.7815279,340,,,,,,,,
0.4,1000,exp,0.3116828,230,,,,,,,,
0.1,1000,exp,0.5164637,400,,,,,,,,
0.1,1000,exp,0.7058406,900,,,,,,,,
0.4,1000,exp,0.2346336,230,,,,,,,,
0.7,1000,exp,0.2687383,120,,,,,,,,
0.1,1000,exp,1.3284565,230,,,,,,,,
0.7,1000,exp,1.9501635,340,,,,,,,,
0.4,400,unexp,5.5782459,980,,,,,,,,
0.7,400,unexp,0.9461217,870,,,,,,,,
0.4,1000,exp,24.5022923,230,,,,,,,,
0.1,1000,exp,1.1560244,120,,,,,,,,
0.4,400,unexp,1.6450115,900,,,,,,,,
0.7,1000,exp,0.7121272,340,,,,,,,,
0.1,1000,exp,6.2622543,230,,,,,,,,
0.4,1000,exp,1.6990371,540,,,,,,,,
0.7,1000,exp,1.0641779,230,,,,,,,,
0.4,1000,exp,0.4590039,230,,,,,,,,
0.1,400,unexp,8.7413708,900,,,,,,,,
0.4,1000,exp,0.8130064,340,,,,,,,,
0.7,400,unexp,0.6896647,900,,,,,,,,
0.7,1000,exp,1.9625936,230,,,,,,,,
0.1,1000,exp,1.3265157,100,,,,,,,,
0.1,1000,exp,0.4688254,200,,,,,,,,
0.4,1000,exp,3.0824447,340,,,,,,,,
0.7,1000,exp,0.3204639,320,,,,,,,,
0.1,1000,exp,1.1745977,500,,,,,,,,
0.1,1000,exp,2.1761114,500,,,,,,,,
0.7,1000,exp,0.5091508,250,,,,,,,,
0.4,1000,exp,0.6333723,340,,,,,,,,
0.7,400,unexp,5.2277631,900,,,,,,,,
0.4,400,unexp,3.0802083,890,,,,,,,,
0.4,1000,exp,0.7411179,540,,,,,,,,
0.7,1000,exp,1.4642482,340,,,,,,,,
0.1,400,unexp,0.8010212,890,,,,,,,,
0.1,1000,exp,0.5487105,540,,,,,,,,
0.4,1000,exp,0.2781068,120,,,,,,,,
0.4,400,unexp,0.2971302,990,,,,,,,,
0.7,1000,exp,0.2050523,120,,,,,,,,
0.7,400,unexp,0.22516,870,,,,,,,,
0.7,1000,exp,0.3948878,230,,,,,,,,
0.1,400,unexp,0.3334735,990,,,,,,,,
0.1,1000,exp,0.393026,230,,,,,,,,
0.4,1000,exp,0.263196,120,,,,,,,,
0.4,1000,exp,0.2610656,230,,,,,,,,
0.1,1000,exp,0.2052744,340,,,,,,,,
0.7,1000,exp,0.2452543,200,,,,,,,,
0.4,400,unexp,0.342714,990,,,,,,,,
0.1,1000,exp,0.2977387,120,,,,,,,,
0.1,1000,exp,0.4499762,250,,,,,,,,
0.4,1000,exp,0.3011247,260,,,,,,,,
0.7,1000,exp,1.4536924,456,,,,,,,,
0.7,1000,exp,0.2619853,147,,,,,,,,
0.1,400,unexp,0.3191237,960,,,,,,,,
0.4,1000,exp,0.2466319,145,,,,,,,,
0.7,400,unexp,0.2407679,870,,,,,,,,
0.4,1000,exp,0.2967902,145,,,,,,,,
0.1,1000,exp,0.457192,230,,,,,,,,
0.7,1000,exp,0.241015,345,,,,,,,,
0.1,1000,exp,0.3424187,789,,,,,,,,
0.1,400,unexp,1.0919293,890,,,,,,,,
0.4,400,unexp,0.4993203,800,,,,,,,,
0.1,1000,exp,0.2547988,430,,,,,,,,
0.7,1000,exp,0.3695105,240,,,,,,,,
0.4,1000,exp,0.3314017,360,,,,,,,,
0.7,400,unexp,0.1967877,840,,,,,,,,
0.4,1000,exp,0.7599055,480,,,,,,,,
0.7,1000,exp,0.8089845,23,,,,,,,,
0.4,1000,exp,1.0236279,36,,,,,,,,
0.7,1000,exp,0.4132967,75,,,,,,,,
0.1,1000,exp,0.3995747,25,,,,,,,,
0.7,400,unexp,0.3072029,900,,,,,,,,
